position,position_bit,rider_name,rider_name_2,time,time_sec,speed,speed_bit,dist_km,date,event,category,location,format,note,bike,season,rider_name_first,rider_name_last,gender,rider_name_abbv
1,1,Michael Vink,N/A,00:18:32.0,1112.0000000000002,51.8,1,16,2021-03-23T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Michael,Vink,male,Michael V.
1,1,Jay Christie,N/A,00:12:51.0,771,37.3,1,8,2021-03-30T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Jay,Christie,male,Jay C.
1,1,Michael Vink,N/A,00:18:34.0,1114,51.7,1,16,2021-03-30T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Michael,Vink,male,Michael V.
2,1,Pam Hogarth,N/A,00:15:19.0,919,31.3,1,8,2021-03-30T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Pam,Hogarth,female,Pam H.
3,1,Nicole Bush,N/A,00:15:50.0,950,30.3,1,8,2021-03-30T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Nicole,Bush,female,Nicole B.
1,1,Michael Vink,N/A,00:18:39.0,1118.9999999999998,51.5,1,16,2021-02-23T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Michael,Vink,male,Michael V.
4,1,Neisha McKenzie,N/A,00:16:47.0,1007.0000000000001,28.6,1,8,2021-03-30T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Neisha,McKenzie,female,Neisha M.
1,1,Michael Vink,N/A,00:18:43.0,1122.9999999999998,51.3,1,16,2021-03-02T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Michael,Vink,male,Michael V.
1,1,Michael Vink,N/A,00:18:48.0,1128,51,1,16,2021-01-26T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Michael,Vink,male,Michael V.
1,1,Michael Vink,N/A,00:18:52.0,1132,50.9,1,16,2021-03-16T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Michael,Vink,male,Michael V.
1,1,Michael Vink,N/A,00:19:17.0,1157,49.8,1,16,2021-02-02T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Michael,Vink,male,Michael V.
1,1,Jake Marryatt,N/A,00:19:37.0,1176.9999999999998,48.9,1,16,2019-02-19T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Jake,Marryatt,male,Jake M.
1,1,Sam Horgan,N/A,00:19:41.0,1181,48.8,1,16,2017-10-31T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Sam,Horgan,male,Sam H.
2,1,Jake Marryatt,N/A,00:19:43.0,1183,48.7,1,16,2021-01-26T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Jake,Marryatt,male,Jake M.
1,1,Sam Horgan,N/A,00:19:52.0,1192.0000000000002,48.3,1,16,2017-11-21T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Sam,Horgan,male,Sam H.
1,1,Jake Marryatt,N/A,00:19:55.0,1195.0000000000002,48.2,1,16,2019-01-15T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Jake,Marryatt,male,Jake M.
1,1,Jay Christie,N/A,00:11:52.0,712,40.4,1,8,2021-03-23T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Jay,Christie,male,Jay C.
2,1,Sian Morgan,N/A,00:12:01.0,721.0000000000001,39.9,1,8,2021-03-23T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Sian,Morgan,female,Sian M.
3,1,Warwick Anderson,N/A,00:12:20.0,740,38.9,1,8,2021-03-23T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Warwick,Anderson,male,Warwick A.
4,1,Pam Hogarth,N/A,00:14:04.0,844,34.1,1,8,2021-03-23T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Pam,Hogarth,female,Pam H.
1,1,Sam Horgan,N/A,00:20:00.0,1200,48,1,16,2018-11-06T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Sam,Horgan,male,Sam H.
1,1,Jake Marryatt,N/A,00:20:00.0,1200,48,1,16,2018-02-13T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Jake,Marryatt,male,Jake M.
6,1,Fiona Oliver,N/A,00:16:18.0,978,29.5,1,8,2021-03-23T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Fiona,Oliver,female,Fiona O.
1,1,Sam Horgan,N/A,00:20:03.0,1203,47.9,1,16,2017-12-12T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Sam,Horgan,male,Sam H.
1,1,Sam Horgan,N/A,00:20:04.0,1204,47.9,1,16,2017-12-05T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Sam,Horgan,male,Sam H.
2,1,Michael Vink,N/A,00:20:06.0,1206.0000000000002,47.8,1,16,2017-12-05T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Michael,Vink,male,Michael V.
2,1,Jake Marryatt,N/A,00:20:08.0,1208,47.7,1,16,2021-03-02T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Jake,Marryatt,male,Jake M.
4,1,Stephen Mark,N/A,00:22:37.0,1357,42.4,1,16,2011-08-01T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2011-12 Season,Stephen,Mark,male,Stephen M.
27,1,Andrew Allan,N/A,00:53:28.0,3208,18,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Andrew,Allan,male,Andrew A.
2,1,Jake Marryatt,N/A,00:20:10.0,1210,47.6,1,16,2021-03-23T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Jake,Marryatt,male,Jake M.
