"","name","gender","proportion_male","proportion_female"
"1","Michael","male",0.99,0.01
"2","Jay","male",0.91,0.09
"3","Pam","female",0.07,0.93
"4","Nicole","female",0.02,0.98
"5","Neisha","female",0,1
"6","Jake","male",0.98,0.02
"7","Sam","male",0.81,0.19
"8","Sian","female",0.12,0.88
"9","Warwick","male",0.99,0.01
"10","Fiona","female",0.03,0.97
"11","Stephen","male",0.99,0.01
"12","Andrew","male",0.99,0.01
"13","Paul","male",0.99,0.01
"14","Ian","male",0.99,0.01
"15","Ollie","male",0.89,0.11
"16","Campbell","male",0.87,0.13
"17","Jonty","male",0.99,0.01
"18","Ben","male",0.95,0.05
"19","Kris","male",0.71,0.29
"20","Alastair","male",0.99,0.01
"21","Ryan","male",0.99,0.01
"22","Blair","male",0.64,0.36
"23","Ashley","female",0.39,0.61
"24","Nick","male",0.98,0.02
"25","David","male",0.99,0.01
"26","Hayden","male",0.91,0.09
"27","Gary","male",0.99,0.01
"28","Andy","male",0.92,0.08
"29","Randall","male",0.99,0.01
"30","Martin","male",0.98,0.02
"31","Bill","male",0.97,0.03
"32","Graham","male",0.99,0.01
"33","Daniel","male",0.99,0.01
"34","Dan","male",0.95,0.05
"35","Sammie","female",0.47,0.53
"36","Sharon","female",0.02,0.98
"37","Emily","female",0.02,0.98
"38","Katherine","female",0.02,0.98
"39","Sarah","female",0.02,0.98
"40","Hugo","male",0.99,0.01
"41","Luca","male",0.96,0.04
"42","Niamh","female",0.02,0.98
"43","Joe","male",0.95,0.05
"44","Neil","male",0.99,0.01
"45","Jack","male",0.98,0.02
"46","Glen","male",0.55,0.45
"47","Richard","male",0.99,0.01
"48","John","male",0.99,0.01
"49","Guy","male",0.98,0.02
"50","Anthony","male",0.99,0.01
"51","Max","male",0.98,0.02
"52","Bailey","male",0.59,0.41
"53","D'arcy","male",0.81,0.19
"54","Chad","male",0.99,0.01
"55","Nathan","male",0.99,0.01
"56","Harold","male",0.99,0.01
"57","Peter","male",0.99,0.01
