Station,Date(NZST),Time(NZST),Pmsl(hPa)
Christchurch Kyle St Ews,20160101,0000,1021.4
Christchurch Kyle St Ews,20160101,0100,1021.4
Christchurch Kyle St Ews,20160101,0200,1021.0
Christchurch Kyle St Ews,20160101,0300,1020.9
Christchurch Kyle St Ews,20160101,0400,1020.8
Christchurch Kyle St Ews,20160101,0500,1020.5
Christchurch Kyle St Ews,20160101,0600,1020.7
Christchurch Kyle St Ews,20160101,0700,1020.8
Christchurch Kyle St Ews,20160101,0800,1021.0
Christchurch Kyle St Ews,20160101,0900,1020.7
Christchurch Kyle St Ews,20160101,1000,1020.1
Christchurch Kyle St Ews,20160101,1100,1019.4
Christchurch Kyle St Ews,20160101,1200,1019.4
Christchurch Kyle St Ews,20160101,1300,1018.3
Christchurch Kyle St Ews,20160101,1400,1017.8
Christchurch Kyle St Ews,20160101,1500,1017.8
Christchurch Kyle St Ews,20160101,1600,1017.0
Christchurch Kyle St Ews,20160101,1700,1016.9
Christchurch Kyle St Ews,20160101,1800,1017.0
Christchurch Kyle St Ews,20160101,1900,1016.9
Christchurch Kyle St Ews,20160101,2000,1016.9
Christchurch Kyle St Ews,20160101,2100,1017.0
Christchurch Kyle St Ews,20160101,2200,1017.2
Christchurch Kyle St Ews,20160101,2300,1017.2
Christchurch Kyle St Ews,20160102,0000,1016.7
Christchurch Kyle St Ews,20160102,0100,1016.0
Christchurch Kyle St Ews,20160102,0200,1015.5
Christchurch Kyle St Ews,20160102,0300,1015.2
Christchurch Kyle St Ews,20160102,0400,1014.8
Christchurch Kyle St Ews,20160102,0500,1014.9
Christchurch Kyle St Ews,20160102,0600,1014.2
Christchurch Kyle St Ews,20160102,0700,1014.3
Christchurch Kyle St Ews,20160102,0800,1014.1
Christchurch Kyle St Ews,20160102,0900,1013.8
Christchurch Kyle St Ews,20160102,1000,1013.1
Christchurch Kyle St Ews,20160102,1100,1012.7
Christchurch Kyle St Ews,20160102,1200,1011.6
Christchurch Kyle St Ews,20160102,1300,1010.5
Christchurch Kyle St Ews,20160102,1400,1009.7
Christchurch Kyle St Ews,20160102,1500,1009.0
Christchurch Kyle St Ews,20160102,1600,1008.2
Christchurch Kyle St Ews,20160102,1700,1007.1
Christchurch Kyle St Ews,20160102,1800,1006.1
Christchurch Kyle St Ews,20160102,1900,1006.3
Christchurch Kyle St Ews,20160102,2000,1005.9
Christchurch Kyle St Ews,20160102,2100,1005.6
Christchurch Kyle St Ews,20160102,2200,1005.1
Christchurch Kyle St Ews,20160102,2300,1004.5
Christchurch Kyle St Ews,20160103,0000,1003.8
Christchurch Kyle St Ews,20160103,0100,1003.2
Christchurch Kyle St Ews,20160103,0200,1002.5
Christchurch Kyle St Ews,20160103,0300,1002.1
Christchurch Kyle St Ews,20160103,0400,1002.0
Christchurch Kyle St Ews,20160103,0500,1002.2
