"date","tair_c","rh_percent","dir_deg_t","speed_km_hr","pressure","density","wd_cardinal"
2010-11-07,11,82,148,16,1022,1.248,"Southeast"
2010-11-21,12,76,152,23,1010,1.229,"Southeast"
2010-11-28,17,78,34,24,1018,1.216,"Northeast"
2010-11-30,14,87,169,19,1020,1.23,"South"
2010-12-07,12,71,168,14,1018,1.242,"South"
2010-12-14,16,76,38,22,1015,1.215,"Northeast"
2010-12-21,25,32,314,36,999,1.163,"Northwest"
2011-01-25,18,84,185,15,1010,1.199,"South"
2011-02-01,19,45,40,28,1006,1.195,"Northeast"
2011-08-01,5,79,10,10,1020,1.273,"North"
2011-10-12,16,58,30,17,1005,1.207,"Northeast"
2011-10-18,8,84,254,29,1000,1.236,"West"
2011-10-19,8,78,178,29,1011,1.248,"South"
2012-03-20,12,70,42,12,1025,1.25,"Northeast"
2012-10-12,16,48,18,23,999,1.2,"North"
2012-10-16,11,78,24,20,1004,1.227,"Northeast"
2012-10-23,9,76,166,13,1015,1.25,"South"
2012-10-29,14,68,34,27,1014,1.225,"Northeast"
2012-10-30,14,75,24,16,1011,1.221,"Northeast"
2012-11-06,8,62,174,14,1028,1.27,"South"
2012-11-13,9,74,40,18,1013,1.246,"Northeast"
2012-11-20,12,76,30,14,1017,1.239,"Northeast"
2012-12-04,20,53,336,22,995,1.176,"Northwest"
2012-12-11,15,69,37,19,1025,1.233,"Northeast"
2012-12-18,14,92,124,8,1006,1.211,"Southeast"
2013-01-22,18,81,22,26,1016,1.205,"North"
2013-01-29,19,78,30,19,1022,1.212,"Northeast"
2013-02-05,13,61,183,23,1020,1.236,"South"
2013-02-12,17,81,42,22,1007,1.203,"Northeast"
2013-02-19,20,47,38,34,1020,1.205,"Northeast"
2013-02-26,18,80,21,16,1023,1.215,"North"
2013-03-05,16,67,38,28,1012,1.212,"Northeast"
2013-03-12,15,74,44,17,1018,1.225,"Northeast"
2013-03-19,12,78,186,10,1017,1.239,"South"
2013-03-26,15,76,35,27,1023,1.229,"Northeast"
2013-10-01,15,62,8,17,1010,1.218,"North"
2013-10-08,4,96,250,10,1001,1.257,"West"
2013-10-15,11,58,39,20,994,1.215,"Northeast"
2013-10-22,10,96,23,8,1011,1.238,"Northeast"
2013-10-29,13,76,40,28,1010,1.225,"Northeast"
2013-11-05,15,77,194,17,1014,1.217,"South"
2013-11-12,12,76,42,7,1033,1.254,"Northeast"
2013-11-13,12,72,35,27,1027,1.251,"Northeast"
2013-11-19,14,83,42,34,1021,1.23,"Northeast"
2013-11-26,12,72,156,12,1012,1.232,"Southeast"
2013-12-10,16,82,40,22,1010,1.21,"Northeast"
2014-01-14,13,62,140,18,1015,1.23,"Southeast"
2014-01-21,15,86,48,20,1003,1.207,"Northeast"
2014-01-28,19,57,156,11,1018,1.209,"Southeast"
2014-02-04,17,87,196,23,1007,1.202,"South"
2014-02-11,16,76,24,17,1001,1.201,"Northeast"
2014-02-18,20,74,222,21,1012,1.193,"Southwest"
2014-02-25,14,88,42,23,1019,1.23,"Northeast"
2014-03-11,15,84,38,10,1024,1.233,"Northeast"
2014-03-18,16,92,183,10,1019,1.222,"South"
2014-10-07,10,74,40,34,1005,1.235,"Northeast"
2014-10-14,11,74,39,17,1020,1.246,"Northeast"
2014-10-21,13,68,48,11,1019,1.238,"Northeast"
2014-10-28,13,74,39,24,989,1.197,"Northeast"
2014-11-04,8,70,304,8,1019,1.258,"Northwest"
2014-11-11,15,44,330,17,987,1.19,"Northwest"
2014-11-18,17,27,316,30,994,1.193,"Northwest"
2014-11-25,19,70,42,25,995,1.178,"Northeast"
2014-12-09,21,48,322,21,1002,1.18,"Northwest"
2014-12-14,14,66,52,26,1015,1.228,"Northeast"
2015-01-13,17,82,55,15,1012,1.207,"Northeast"
2015-01-20,15,68,159,12,1017,1.222,"South"
2015-01-27,19,83,93,7,1013,1.199,"East"
2015-02-03,15,68,150,16,1002,1.207,"Southeast"
2015-02-10,16,68,42,23,1031,1.237,"Northeast"
2015-02-17,17,73,42,32,1021,1.22,"Northeast"
2015-02-24,19,78,38,26,1012,1.198,"Northeast"
2015-03-03,17,83,46,20,1011,1.206,"Northeast"
2015-03-10,17,82,36,20,1014,1.207,"Northeast"
2015-03-17,12,66,192,27,1004,1.224,"South"
2015-03-24,18,68,19,8,1010,1.2,"North"
2015-03-31,14,82,31,15,1019,1.229,"Northeast"
2015-10-06,19,60,26,10,1014,1.203,"Northeast"
2015-10-13,11,78,67,15,1012,1.237,"Northeast"
2015-10-20,15,54,36,22,1010,1.217,"Northeast"
2015-10-27,10,76,150,12,1019,1.252,"Southeast"
2015-11-10,19,66,22,19,1000,1.186,"North"
2015-11-17,10,79,162,18,1006,1.233,"South"
2015-11-24,23,54,181,21,1005,1.175,"South"
2015-12-01,18,92,26,23,1019,1.212,"Northeast"
2015-12-08,14,72,179,23,1011,1.22,"South"
2016-01-19,16,88,224,16,1006,1.204,"Southwest"
2016-01-26,14,97,204,14,1014,1.223,"Southwest"
2016-02-02,23,61,24,13,1015,1.185,"Northeast"
2016-02-09,16,70,164,30,1009,1.21,"South"
2016-02-16,24,44,41,24,1004,1.168,"Northeast"
2016-02-23,19,74,47,17,1015,1.204,"Northeast"
2016-03-01,13,63,156,17,1022,1.237,"Southeast"
2016-03-08,12,92,125,8,1017,1.237,"Southeast"
2016-03-15,14,96,196,22,1018,1.23,"South"
2016-03-22,20,70,32,12,1015,1.198,"Northeast"
2016-03-29,16,68,59,5,1014,1.216,"Northeast"
2016-10-04,13,84,13,19,992,1.204,"North"
2016-10-11,16,41,169,18,996,1.196,"South"
2016-10-18,19,44,317,22,1003,1.189,"Northwest"
2016-10-25,16,72,74,8,1002,1.201,"East"
2016-11-01,13,68,36,21,1003,1.214,"Northeast"
2016-11-08,14,62,36,31,1007,1.215,"Northeast"
2016-11-15,14,80,169,19,990,1.195,"South"
2016-11-22,21,53,28,23,1011,1.19,"Northeast"
2016-11-29,14,80,168,27,997,1.204,"South"
2016-12-13,14,78,40,29,1005,1.214,"Northeast"
2017-01-10,16,82,43,32,1007,1.207,"Northeast"
2017-01-17,26,35,297,22,998,1.156,"Northwest"
2017-01-24,19,66,31,19,1003,1.188,"Northeast"
2017-01-31,25,45,320,40,1002,1.163,"Northwest"
2017-02-07,15,64,52,9,1017,1.224,"Northeast"
2017-02-14,21,48,276,22,1002,1.181,"West"
2017-02-17,16,100,44,16,1022,1.222,"Northeast"
2017-02-28,18,80,NA,NA,1031,1.224,NA
2017-03-07,13,69,NA,NA,1016,1.233,NA
2017-03-14,12,82,204,18,1026,1.246,"Southwest"
2017-10-10,11,97,34,22,997,1.216,"Northeast"
2017-10-17,11,81,189,19,1020,1.247,"South"
2017-10-24,12,81,54,24,1005,1.22,"Northeast"
2017-10-31,17,76,42,18,1025,1.223,"Northeast"
2017-11-07,16,52,34,20,996,1.195,"Northeast"
2017-11-21,14,84,184,12,1023,1.237,"South"
2017-12-05,20,79,216,19,1016,1.2,"Southwest"
2017-12-12,14,81,64,12,1010,1.219,"Northeast"
2017-12-28,15,64,169,14,1021,1.23,"South"
2021-03-23,17,76,35,23,1019,1.216,"Northeast"
2021-03-30,16,78,158,10,1012,1.212,"South"
2021-02-23,26,32,22,20,1011,1.172,"North"
2021-03-02,21,70,48,24,999,1.174,"Northeast"
2021-01-26,35,17,162,19,1004,1.129,"South"
2021-03-16,16,61,170,8,1015,1.217,"South"
2021-02-02,18,72,54,37,1017,1.21,"Northeast"
2019-02-19,26,47,24,16,1003,1.16,"Northeast"
2019-01-15,16,63,172,15,1016,1.218,"South"
2018-11-06,17,62,46,26,1008,1.204,"Northeast"
2018-02-13,22,57,40,24,1007,1.181,"Northeast"
2018-03-21,15,98,224,20,1018,1.223,"Southwest"
2019-02-26,19,40,46,26,1015,1.206,"Northeast"
2019-11-26,23,56,28,12,1007,1.177,"Northeast"
2019-02-05,25,48,328,10,1008,1.17,"Northwest"
2019-10-08,19,60,198,9,1010,1.198,"South"
2018-03-13,13,90,265,11,1002,1.213,"West"
2019-03-12,26,47,158,12,1009,1.167,"South"
2018-11-13,17,60,64,15,1023,1.223,"Northeast"
2020-12-03,18,47,47,24,1008,1.201,"Northeast"
2019-03-26,25,51,38,34,1004,1.165,"Northeast"
2019-11-12,13,68,50,21,1004,1.217,"Northeast"
2018-02-27,15,74,66,18,1021,1.228,"Northeast"
2018-12-18,22,44,320,21,1001,1.176,"Northwest"
2020-01-14,16,62,52,23,1023,1.227,"Northeast"
2019-02-12,23,68,192,15,1001,1.168,"South"
2020-12-22,21,62,171,14,1007,1.185,"South"
2019-11-19,16,54,325,17,997,1.196,"Northwest"
2019-10-15,12,84,53,19,1011,1.229,"Northeast"
2020-02-18,22,70,46,21,1008,1.18,"Northeast"
2018-10-23,19,65,38,17,1018,1.207,"Northeast"
2019-12-10,15,70,48,31,1015,1.221,"Northeast"
2020-02-11,16,74,175,21,1018,1.22,"South"
2020-01-28,20,78,87,18,1012,1.194,"East"
2020-02-04,16,90,208,20,991,1.186,"Southwest"
2021-02-16,14,54,178,15,1026,1.241,"South"
2020-02-25,18,73,52,20,1018,1.211,"Northeast"
2021-02-09,22,52,50,18,994,1.166,"Northeast"
2020-12-15,24,29,44,26,1016,1.187,"Northeast"
2020-11-17,24,44,328,14,998,1.163,"Northwest"
2020-01-21,19,65,40,26,1013,1.201,"Northeast"
2018-12-04,22,37,327,22,987,1.16,"Northwest"
2019-03-19,18,76,44,20,1024,1.218,"Northeast"
2020-03-17,12,56,176,16,1023,1.246,"South"
2020-12-08,23,38,296,10,1001,1.172,"Northwest"
2019-01-29,20,85,30,20,1019,1.201,"Northeast"
2020-10-20,12,68,62,21,1016,1.237,"Northeast"
2020-10-27,12,66,159,15,1031,1.255,"South"
2020-11-10,13,66,178,11,1019,1.236,"South"
2020-11-03,13,84,48,31,1022,1.238,"Northeast"
2019-01-22,28,26,301,23,1001,1.153,"Northwest"
2020-10-13,14,78,49,23,1011,1.221,"Northeast"
2018-01-23,23,64,42,28,1009,1.178,"Northeast"
2018-10-16,13,69,40,25,1020,1.237,"Northeast"
2021-01-19,17,40,332,30,984,1.178,"Northwest"
2020-12-01,14,59,60,19,1018,1.23,"Northeast"
2020-11-24,13,74,57,28,1010,1.224,"Northeast"
2020-03-03,22,80,33,10,1001,1.171,"Northeast"
2019-12-17,11,94,213,29,1001,1.221,"Southwest"
2019-10-22,10,87,76,12,992,1.215,"East"
2018-02-20,12,96,162,20,1002,1.218,"South"
2018-01-16,23,69,40,26,1011,1.179,"Northeast"
2021-10-26,13,92,30,14,1016,1.23,"Northeast"
2021-11-02,11,59,163,17,1027,1.255,"South"
2021-11-09,15,85,44,25,1014,1.219,"Northeast"
2021-11-23,14,74,50,17,1021,1.233,"Northeast"
2021-11-30,16,70,173,20,1020,1.223,"South"
2021-12-07,14,90,168,8,1019,1.229,"South"
2021-12-21,24,38,318,16,997,1.163,"Northwest"
2022-01-18,19,68,49,28,1009,1.196,"Northeast"
2022-01-25,20,72,166,12,1005,1.186,"South"
2022-02-01,20,77,41,28,1013,1.195,"Northeast"
2022-02-08,18,74,58,18,1019,1.212,"Northeast"
2022-02-15,18,75,44,24,1021,1.214,"Northeast"
2022-02-22,25,50,231,15,1016,1.179,"Southwest"
2022-03-01,19,74,52,4,1022,1.211,"Northeast"
2022-03-08,18,79,49,30,1019,1.211,"Northeast"
2022-03-15,15,84,202,11,1029,1.237,"South"
2022-03-29,16,78,151,11,1020,1.222,"Southeast"
2022-03-22,17,96,55,17,1008,1.201,"Northeast"
2022-10-04,14,63,5,10,1005,1.214,"North"
2022-10-11,11,73,170,22,1024,1.251,"South"
2022-10-18,10,87,162,17,1010,1.238,"South"
2022-10-25,11,72,54,22,1024,1.251,"Northeast"
2022-11-01,22,42,330,21,1000,1.175,"Northwest"
2022-11-08,17,64,53,21,1020,1.219,"Northeast"
