name,gender,proportion_male,proportion_female,confidence
Neisha,female,0,1,y
Bryleigh,female,0,1,y
Tiffiney,female,0,1,y
Annaliisa,female,0,1,y
Pheobe,female,0,1,y
Carrie-ann,female,0,1,y
Mary,female,0.01,0.99,y
Emelia,female,0.01,0.99,y
Henrietta,female,0.01,0.99,y
Margaret,female,0.01,0.99,y
Francesca,female,0.01,0.99,y
Christine,female,0.01,0.99,y
Shirley,female,0.01,0.99,y
Rebekah,female,0.01,0.99,y
Francine,female,0.01,0.99,y
Melissa,female,0.01,0.99,y
Glenda,female,0.01,0.99,y
Angela,female,0.01,0.99,y
Nicole,female,0.02,0.98,y
Sharon,female,0.02,0.98,y
Emily,female,0.02,0.98,y
Katherine,female,0.02,0.98,y
Sarah,female,0.02,0.98,y
Niamh,female,0.02,0.98,y
Jennifer,female,0.02,0.98,y
Laura,female,0.02,0.98,y
Alice,female,0.02,0.98,y
Lisa,female,0.02,0.98,y
Stephanie,female,0.02,0.98,y
Jessica,female,0.02,0.98,y
Matilda,female,0.02,0.98,y
Sara,female,0.02,0.98,y
Anna,female,0.02,0.98,y
Annabel,female,0.02,0.98,y
Katie,female,0.02,0.98,y
Rachel,female,0.02,0.98,y
Leanne,female,0.02,0.98,y
Kayla,female,0.02,0.98,y
Joanne,female,0.02,0.98,y
Georgia,female,0.02,0.98,y
Sophie,female,0.02,0.98,y
Jeannie,female,0.02,0.98,y
Amanda,female,0.02,0.98,y
Marie,female,0.02,0.98,y
Tessa,female,0.02,0.98,y
Kate,female,0.02,0.98,y
Annamarie,female,0.02,0.98,y
Nina,female,0.02,0.98,y
Mikaela,female,0.02,0.98,y
Tanya,female,0.02,0.98,y
Samantha,female,0.02,0.98,y
Jeanette,female,0.02,0.98,y
Nadine,female,0.02,0.98,y
Christina,female,0.02,0.98,y
Tania,female,0.02,0.98,y
Chloe,female,0.02,0.98,y
Sabina,female,0.02,0.98,y
Rebecca,female,0.02,0.98,y
Caroline,female,0.02,0.98,y
Nadia,female,0.02,0.98,y
Julie,female,0.02,0.98,y
Teresa,female,0.02,0.98,y
Judith,female,0.02,0.98,y
Amelia,female,0.02,0.98,y
Helen,female,0.02,0.98,y
Natasha,female,0.02,0.98,y
Michelle,female,0.02,0.98,y
Cathy,female,0.02,0.98,y
Ruth,female,0.02,0.98,y
Jenny,female,0.02,0.98,y
Sandra,female,0.02,0.98,y
Lily,female,0.02,0.98,y
Lizzie,female,0.02,0.98,y
Saskia,female,0.02,0.98,y
Catherine,female,0.02,0.98,y
Paula,female,0.02,0.98,y
Donna,female,0.02,0.98,y
Lynda,female,0.02,0.98,y
Diana,female,0.02,0.98,y
Ella,female,0.02,0.98,y
Fiona,female,0.03,0.97,y
Lucy,female,0.03,0.97,y
Olivia,female,0.03,0.97,y
Hannah,female,0.03,0.97,y
Sue,female,0.03,0.97,y
Charlotte,female,0.03,0.97,y
Beth,female,0.03,0.97,y
Fleur,female,0.03,0.97,y
Rachael,female,0.03,0.97,y
Julia,female,0.03,0.97,y
Claire,female,0.03,0.97,y
Wendy,female,0.03,0.97,y
Grace,female,0.03,0.97,y
Kirsty,female,0.03,0.97,y
Finella,female,0.03,0.97,y
Danielle,female,0.03,0.97,y
Amy,female,0.03,0.97,y
Caitlin,female,0.03,0.97,y
Rosie,female,0.03,0.97,y
Louise,female,0.03,0.97,y
Anne,female,0.03,0.97,y
Freya,female,0.03,0.97,y
Jane,female,0.03,0.97,y
Tracey,female,0.04,0.96,y
Vicki,female,0.04,0.96,y
Maxine,female,0.04,0.96,y
Celyn,female,0.04,0.96,y
Laurence,female,0.04,0.96,N
Shona,female,0.04,0.96,y
Esme,female,0.04,0.96,y
Lilli,female,0.04,0.96,y
Ellie,female,0.04,0.96,y
Judy,female,0.05,0.95,y
Trish,female,0.05,0.95,y
Karen,female,0.05,0.95,y
Kylie,female,0.05,0.95,y
Zoe,female,0.05,0.95,y
Ailsa,female,0.06,0.94,y
Gail,female,0.06,0.94,y
Bronwyn,female,0.06,0.94,y
Kat,female,0.06,0.94,y
Stacey,female,0.06,0.94,y
Pam,female,0.07,0.93,y
Meg,female,0.07,0.93,y
Emma,female,0.07,0.93,y
Tracy,female,0.08,0.92,y
Haley,female,0.08,0.92,y
Sharne,female,0.08,0.92,y
Rosey,female,0.08,0.92,y
Brooke,female,0.09,0.91,y
Lindsay,female,0.09,0.91,y
Lauren,female,0.1,0.9,y
Nikki,female,0.11,0.89,y
Sian,female,0.12,0.88,y
Kaia,female,0.12,0.88,y
Frances,female,0.12,0.88,y
Holly,female,0.13,0.87,y
Maddi,female,0.15,0.85,y
Sandy,female,0.15,0.85,y
Reta,female,0.15,0.85,y
Mel,female,0.16,0.84,y
Robyn,female,0.18,0.82,y
Kerry,female,0.2,0.8,y
Amye,female,0.2,0.8,y
Jen,female,0.21,0.79,y
Jessie,female,0.21,0.79,y
Maddy,female,0.21,0.79,y
Nicki,female,0.21,0.79,y
Hilary,female,0.22,0.78,y
Erin,female,0.23,0.77,y
Brie,female,0.23,0.77,y
Sia,female,0.34,0.66,y
Marty,female,0.34,0.66,N
Sammi,female,0.35,0.65,Y
Ashley,female,0.39,0.61,Y
Jocelyn,female,0.41,0.59,Y
Eden,female,0.41,0.59,Y
Nicky,female,0.41,0.59,Y
Zane,female,0.45,0.55,N
Gabby,female,0.46,0.54,Y
Sammie,female,0.47,0.53,Y
Eltje,female,0.47,0.53,Y
Carey,male,0.5,0.5,y
Leigh,male,0.5,0.5,
Kiri,male,0.53,0.47,y
Mackenzie,male,0.53,0.47,N
